id,binary_value
229,00000000000000000001000110001100
230,00000000000000000001000101011011
231,00000000000000000000100011110111
232,00000000000000000000111001111111
233,00000000000000000000101000011100
234,00000000000000000000111000011101
235,00000000000000000000100011110111
236,00000000000000000000100110111010
237,00000000000000000000110110001011
238,00000000000000000000101001001101
239,00000000000000000000100110111010
240,00000000000000000000100011000110
241,00000000000000000001001000011111
242,00000000000000000000100011000110
243,00000000000000000000100011000110
244,00000000000000000000110111101100
245,00000000000000000000100011000110
246,00000000000000000000100111101011
247,00000000000000000000100101011001
248,00000000000000000000101000011100
249,00000000000000000000110100101001
250,00000000000000000000100011000110
251,00000000000000000000100011000110
252,00000000000000000000100011110111
253,00000000000000000000101111010011
254,00000000000000000000110110001011
255,00000000000000000000100100101000
256,00000000000000000000100011000110
257,00000000000000000001000100101011
258,00000000000000000000100100101000
259,00000000000000000000101001001101
260,00000000000000000000100011000110
261,00000000000000000000100011110111
262,00000000000000000000100011000110
263,00000000000000000000110011000111
264,00000000000000000000100110001001
265,00000000000000000000110100101001
266,00000000000000000000100011000110
267,00000000000000000000100011000110
268,00000000000000000000101001001101
269,00000000000000000000100011000110
270,00000000000000000001000000000110
271,00000000000000000000100100101000
272,00000000000000000000100011110111
273,00000000000000000000100011000110
274,00000000000000000000101000011100
275,00000000000000000000110110001011
276,00000000000000000001000101011011
277,00000000000000000000110000110101
278,00000000000000000001000010011000
279,00000000000000000000100011110111
280,00000000000000000000100111101011
281,00000000000000000001000000000110
282,00000000000000000000111000011101
283,00000000000000000000111001001110
284,00000000000000000000100011110111
285,00000000000000000000100011000110
286,00000000000000000001000010011000
287,00000000000000000000101100010000
288,00000000000000000000110100101001
289,00000000000000000000100100101000
290,00000000000000000000100100101000
291,00000000000000000000101000011100
292,00000000000000000000100011110111
293,00000000000000000000110000110101
294,00000000000000000000100110111010
295,00000000000000000000100011000110
296,00000000000000000000100011110111
297,00000000000000000001000000110110
298,00000000000000000000110110001011
299,00000000000000000000101010101110
300,00000000000000000000101010101110
301,00000000000000000000101001111110
302,00000000000000000000100110001001
303,00000000000000000000100111101011
304,00000000000000000001000011111010
305,00000000000000000000100110001001
306,00000000000000000000100111101011
307,00000000000000000000100110111010
308,00000000000000000001000100101011
309,00000000000000000000111101000010
310,00000000000000000000100110001001
311,00000000000000000000111101110011
312,00000000000000000001000100101011
313,00000000000000000000110110001011
314,00000000000000000000101000011100
315,00000000000000000000100101011001
316,00000000000000000000111001111111
317,00000000000000000000100111101011
318,00000000000000000000110110111100
319,00000000000000000000100111101011
320,00000000000000000000100011110111
321,00000000000000000000100011110111
322,00000000000000000001000011111010
323,00000000000000000000100100101000
324,00000000000000000000100101011001
325,00000000000000000000100111101011
326,00000000000000000000100111101011
327,00000000000000000000100110001001
328,00000000000000000001000110111101
329,00000000000000000000110011111000
330,00000000000000000000101010101110
331,00000000000000000000100011000110
332,00000000000000000001000110111101
333,00000000000000000000101100010000
334,00000000000000000000101000011100
335,00000000000000000000100011110111
336,00000000000000000000110011000111
337,00000000000000000000110010010111
338,00000000000000000000100011000110
339,00000000000000000000111001111111
340,00000000000000000000100011000110
341,00000000000000000000110101011010
342,00000000000000000001000110111101
343,00000000000000000001000000110110
344,00000000000000000000100110001001
345,00000000000000000000100111101011
346,00000000000000000000101101110010
347,00000000000000000000111110100100
348,00000000000000000000101001001101
349,00000000000000000000100111101011
350,00000000000000000000101001001101
351,00000000000000000001001000011111
352,00000000000000000000101001111110
353,00000000000000000000100100101000
354,00000000000000000000101001111110
355,00000000000000000000100100101000
356,00000000000000000000101001111110
357,00000000000000000000100111101011
358,00000000000000000000110111101100
359,00000000000000000001000010011000
360,00000000000000000001000110111101
361,00000000000000000000111101000010
362,00000000000000000000111001111111
363,00000000000000000000101000011100
364,00000000000000000000100011110111
365,00000000000000000000110111101100
366,00000000000000000000101001111110
367,00000000000000000001000100101011
368,00000000000000000000110101011010
369,00000000000000000000100011110111
370,00000000000000000000100011000110
371,00000000000000000000100110111010
372,00000000000000000000100100101000
373,00000000000000000000100110001001
374,00000000000000000000100101011001
375,00000000000000000000101001111110
376,00000000000000000000110000110101
377,00000000000000000000101001001101
378,00000000000000000000101001111110
379,00000000000000000000110100101001
380,00000000000000000000101010101110
381,00000000000000000000111011100001
382,00000000000000000000101100010000
383,00000000000000000000100110001001
384,00000000000000000000100011110111
385,00000000000000000000100011110111
386,00000000000000000000100101011001
387,00000000000000000000100111101011
388,00000000000000000000101000011100
389,00000000000000000000101001111110
390,00000000000000000000101101110010
391,00000000000000000000100101011001
392,00000000000000000000100110001001
393,00000000000000000000101011011111
394,00000000000000000000101001111110
395,00000000000000000000100011110111
396,00000000000000000000100100101000
397,00000000000000000000101001111110
398,00000000000000000000110100101001
399,00000000000000000000110001100110
400,00000000000000000000111001001110
401,00000000000000000000111011100001
402,00000000000000000000100011110111
403,00000000000000000000100100101000
404,00000000000000000000101100010000
405,00000000000000000000101010101110
406,00000000000000000000100110001001
407,00000000000000000000110110001011
408,00000000000000000000101001111110
409,00000000000000000000100101011001
410,00000000000000000000101010101110
411,00000000000000000000100110111010
412,00000000000000000000100110111010
413,00000000000000000000110011000111
414,00000000000000000001000011111010
415,00000000000000000000100011110111
416,00000000000000000000101010101110
417,00000000000000000000100011110111
418,00000000000000000000100011110111
419,00000000000000000001000110001100
420,00000000000000000000110101011010
421,00000000000000000000101000011100
422,00000000000000000000100111101011
423,00000000000000000000110000110101
424,00000000000000000000101011011111
425,00000000000000000001000100101011
426,00000000000000000000100111101011
427,00000000000000000000100101011001
428,00000000000000000000100100101000
429,00000000000000000000111001001110
430,00000000000000000000100100101000
431,00000000000000000000100110111010
432,00000000000000000000100100101000
433,00000000000000000000101000011100
434,00000000000000000000101010101110
435,00000000000000000000100100101000
436,00000000000000000000101000011100
437,00000000000000000000100011110111
438,00000000000000000000100110001001
439,00000000000000000001000001100111
440,00000000000000000000101101110010
441,00000000000000000000100011110111
442,00000000000000000000100011000110
443,00000000000000000001001000011111
444,00000000000000000001000100101011
445,00000000000000000000100011110111
446,00000000000000000000100011000110
447,00000000000000000000111101110011
448,00000000000000000000101111010011
449,00000000000000000000110011111000
450,00000000000000000000100110001001
451,00000000000000000000111100010001
452,00000000000000000001000111101110
453,00000000000000000001000011111010
454,00000000000000000000111011100001
455,00000000000000000000111101110011
456,00000000000000000000101010101110
457,00000000000000000000100011110111
458,00000000000000000000111010110000
459,00000000000000000000100011000110
460,00000000000000000000110001100110
461,00000000000000000000100110001001
462,00000000000000000001000100101011
463,00000000000000000000110000000100
464,00000000000000000000101001111110
465,00000000000000000000100100101000
466,00000000000000000000110000000100
467,00000000000000000000110110001011
468,00000000000000000001000110001100
469,00000000000000000000101101110010
470,00000000000000000000100111101011
471,00000000000000000000100101011001
472,00000000000000000000100110111010
473,00000000000000000000100101011001
474,00000000000000000000101100010000
475,00000000000000000000100011110111
476,00000000000000000000110011111000
477,00000000000000000000100011110111
478,00000000000000000000100111101011
479,00000000000000000000100011110111
480,00000000000000000000110110111100
481,00000000000000000000100101011001
482,00000000000000000000111000011101
483,00000000000000000000100011000110
484,00000000000000000000100011000110
485,00000000000000000000100101011001
486,00000000000000000000100111101011
487,00000000000000000001000000110110
488,00000000000000000000110001100110
489,00000000000000000001000011111010
490,00000000000000000000100111101011
491,00000000000000000000100011110111
492,00000000000000000000100111101011
493,00000000000000000000101001001101
494,00000000000000000000100111101011
495,00000000000000000001000011001001
496,00000000000000000000101101000001
497,00000000000000000000101010101110
498,00000000000000000000101111010011
499,00000000000000000000100110001001
500,00000000000000000000101101110010
501,00000000000000000001000010011000
502,00000000000000000000110011111000
503,00000000000000000000100011110111
504,00000000000000000000100011110111
505,00000000000000000000111001001110
506,00000000000000000000101001001101
507,00000000000000000001000001100111
508,00000000000000000000100011000110
509,00000000000000000000100011110111
510,00000000000000000001000011111010
511,00000000000000000000111010110000
512,00000000000000000000100011110111
513,00000000000000000001000000110110
514,00000000000000000000100011000110
515,00000000000000000000101001111110
516,00000000000000000001000011001001
517,00000000000000000000100101011001
518,00000000000000000000110000000100
519,00000000000000000000100110001001
520,00000000000000000000101010101110
521,00000000000000000000100111101011
522,00000000000000000000100100101000
523,00000000000000000000101010101110
524,00000000000000000000101010101110
525,00000000000000000000100110111010
526,00000000000000000000101101110010
527,00000000000000000000101100010000
528,00000000000000000000100110111010
529,00000000000000000000111001111111
530,00000000000000000000110110111100
531,00000000000000000000100010010101
532,00000000000000000000100011110111
533,00000000000000000000101001001101
534,00000000000000000001001001010000
535,00000000000000000001000110111101
536,00000000000000000000101001111110
537,00000000000000000000100100101000
538,00000000000000000000101011011111
539,00000000000000000000110110001011
540,00000000000000000000100100101000
541,00000000000000000001000011001001
542,00000000000000000000111101110011
543,00000000000000000000100100101000
544,00000000000000000000100110001001
545,00000000000000000000111111010101
546,00000000000000000000101110100011
547,00000000000000000000101110100011
548,00000000000000000000101110100011
549,00000000000000000000101110100011
550,00000000000000000000101110100011
551,00000000000000000000101110100011
552,00000000000000000000101110100011
553,00000000000000000000101110100011
554,00000000000000000000101110100011
555,00000000000000000000101111010011
556,00000000000000000000101110100011
557,00000000000000000000101110100011
558,00000000000000000000101110100011
559,00000000000000000000101111010011
560,00000000000000000000101111010011
561,00000000000000000000101110100011
