id,value
1,2219
2,2220
3,2222
4,2221
5,2223
6,2222
7,2224
8,2225
9,2228
10,2230
11,2232
12,2235
13,2241
14,2238
15,2239
16,2242
17,2245
18,2248
19,2247
20,2248
21,2252
22,2251
23,2250
24,2248
25,2250
26,2252
27,2255
28,2254
29,2255
30,2254
31,2254
32,2254
33,2254
34,2254
35,2256
36,2258
37,2258
38,2259
39,2260
40,2257
41,2260
42,2260
43,2261
44,2262
45,2262
46,2262
47,2263
48,2264
49,2263
50,2264
51,2264
52,2265
53,2265
54,2266
55,2266
56,2272
57,2274
58,2274
59,2273
60,2272
61,2272
62,2272
63,2273
64,2273
65,2275
66,2276
67,2278
68,2281
69,2279
70,2280
71,2284
72,2288
73,2290
74,2287
75,2289
76,2288
77,2289
78,2290
79,2292
80,2292
81,2291
82,2289
83,2289
84,2292
85,2295
86,2301
87,2306
88,2309
89,2313
90,2316
91,2321
92,2325
93,2327
94,2325
95,2326
96,2330
97,2333
98,2333
99,2329
100,2326
101,2323
102,2319
103,2319
104,2321
105,2320
106,2319
107,2320
108,2319
109,2321
110,2319
111,2325
112,2329
113,2335
114,2338
115,2342
116,2348
117,2346
118,2350
119,2354
120,2360
121,2362
122,2363
123,2361
124,2364
125,2369
126,2372
127,2374
128,2378
129,2376
130,2375
131,2378
132,2379
133,2379
134,2381
135,2380
136,2378
137,2375
138,2372
139,2369
140,2368
141,2367
142,2364
143,2363
144,2364
145,2366
146,2371
147,2378
148,2380
149,2381
150,2389
151,2393
152,2393
153,2395
154,2400
155,2403
156,2405
157,2408
158,2411
159,2414
160,2414
161,2414
162,2412
163,2413
164,2416
165,2418
166,2419
167,2420
168,2423
169,2422
170,2421
171,2423
172,2435
173,2444
174,2448
175,2457
176,2462
177,2469
178,2473
179,2476
180,2480
181,2483
182,2480
183,2473
184,2469
185,2464
186,2463
187,2462
188,2463
189,2463
190,2462
191,2462
192,2463
193,2459
194,2459
195,2460
196,2464
197,2465
198,2459
199,2458
200,2460
201,2458
202,2459
203,2464
204,2469
205,2470
206,2471
207,2474
208,2477
209,2477
210,2477
211,2476
212,2477
213,2476
214,2477
215,2480
216,2475
217,2476
218,2477
219,2487
220,2494
221,2501
222,2507
223,2513
224,2517
225,2519
226,2521
227,2522
228,2524
229,2527
230,2528
231,2529
232,2533
233,2534
234,2537
235,2539
236,2538
237,2540
238,2540
239,2544
240,2546
241,2546
242,2547
243,2546
244,2547
245,2550
246,2550
247,2553
248,2552
249,2547
250,2544
251,2543
252,2543
253,2535
254,2533
255,2525
256,2528
257,2529
258,2532
259,2532
260,2529
261,2528
262,2525
263,2525
264,2520
265,2521
266,2520
267,2524
268,2526
269,2526
270,2527
271,2528
272,2526
273,2534
274,2544
275,2550
276,2553
277,2558
278,2558
279,2560
280,2560
281,2561
282,2560
283,2562
284,2563
285,2564
286,2564
287,2566
288,2566
289,2567
290,2569
291,2570
292,2569
293,2569
294,2569
295,2567
296,2566
297,2563
298,2560
299,2558
300,2555
301,2556
302,2553
303,2554
304,2556
305,2555
306,2556
307,2557
308,2555
309,2556
310,2550
311,2547
312,2546
313,2544
314,2544
315,2542
316,2541
317,2542
318,2541
319,2538
320,2538
321,2538
322,2538
323,2539
324,2538
325,2535
326,2534
327,2535
328,2538
329,2544
330,2548
331,2549
332,2550
333,2552
334,2553
335,2556
336,2556
337,2556
338,2556
339,2560
340,2561
341,2560
342,2560
343,2561
344,2562
345,2566
346,2566
347,2565
348,2566
349,2564
350,2564
351,2560
352,2561
353,2560
354,2561
355,2558
356,2560
357,2562
358,2566
359,2568
360,2567
361,2568
362,2566
363,2566
364,2564
365,2566
366,2566
367,2566
368,2563
369,2563
370,2561
371,2556
372,2555
373,2553
374,2555
375,2553
376,2553
377,2551
378,2548
379,2551
380,2551
381,2550
382,2548
383,2546
384,2547
385,2547
386,2549
387,2543
388,2541
389,2545
390,2551
391,2553
392,2557
393,2560
394,2563
395,2567
396,2566
397,2566
398,2558
399,2556
400,2556
401,2556
402,2549
403,2550
404,2551
405,2551
406,2550
407,2547
408,2544
409,2544
410,2543
411,2542
412,2545
413,2541
414,2543
415,2544
416,2545
417,2546
418,2546
419,2546
420,2544
421,2541
422,2538
423,2538
424,2537
425,2536
426,2537
427,2535
428,2532
429,2529
430,2531
431,2531
432,2527
433,2530
434,2528
435,2525
436,2528
437,2529
438,2528
439,2528
440,2528
441,2528
442,2526
443,2525
444,2525
445,2523
446,2526
447,2527
448,2528
449,2532
450,2531
451,2527
452,2526
453,2522
454,2529
455,2538
456,2540
457,2543
458,2543
459,2544
460,2547
461,2544
462,2537
463,2535
464,2538
465,2538
466,2537
467,2534
468,2532
469,2529
470,2528
471,2526
472,2529
473,2529
474,2531
475,2529
476,2528
477,2526
478,2523
479,2523
480,2523
481,2523
482,2521
483,2522
484,2525
485,2528
486,2523
487,2520
488,2518
489,2518
490,2517
491,2518
492,2517
493,2515
494,2516
495,2518
496,2518
497,2521
498,2521
499,2518
500,2519
501,2518
502,2523
503,2521
504,2517
505,2515
506,2515
507,2518
508,2522
509,2519
510,2521
511,2523
512,2522
513,2521
514,2519
515,2520
516,2521
517,2522
518,2520
519,2520
520,2522
521,2528
522,2533
523,2535
524,2536
525,2534
526,2531
527,2531
528,2535
529,2533
530,2543
531,2546
532,2547
533,2552
534,2549
535,2546
